chunk_size,num_chunks,recall@5,recall@10
256,6633,0.7673333333333333,0.8458888888888889
512,5226,0.7742777777777777,0.8592222222222222
1024,5188,0.7742777777777777,0.8592222222222222
2048,5183,0.7742777777777777,0.8592222222222222
