query_id,ttft_seconds,latency_seconds,tokens_per_second
1,1.489317873987602,4.516317087982316,6.937563743958301
3,1.6659597159887198,10.120699977007462,6.978333831498554
5,4.6319127610186115,13.153845968015958,5.397836251782573
13,4.547676001995569,9.961164059990551,7.573675153757586
36,4.568585935019655,13.156120660016313,6.753975600374946
42,3.357012296008179,11.870919117005542,5.75528967255715
48,2.9929598459857516,11.429519103985513,7.348967523840956
49,2.5223044519952964,10.423617889988236,5.821816886647233
50,2.161176312016323,10.733629193011438,6.882510854133865
51,4.003092094004387,12.12023079500068,6.775786644282588
